Algorithm,Precision,Recall,Fmeasure_Score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.790363482671175,0.6057661159701976,0.6858609939482853,0.1926450742240216,0.8073549257759784,0.4,jabRef_2
H3,0.793854033290653,0.6025267249757046,0.6850828729281768,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
H3,0.7911016949152543,0.6047942986718496,0.6855149623646043,0.1926450742240216,0.8073549257759784,0.4,jabRef_2
H3,0.7931034482758621,0.6034985422740525,0.685430463576159,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
H3,0.7937660119555935,0.6022027858762553,0.6848406704733836,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.7865903515944399,0.62325882734046,0.6954635821435027,0.1894961763382816,0.8105038236617184,0.4,jabRef_2
H3,0.794017094017094,0.6018788467768059,0.6847245255205453,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.7906289573659772,0.6067379332685455,0.6865835777126099,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
Baseline,0.6148867313915858,0.657439446366782,0.6354515050167224,0.19055944055944055,0.8094405594405595,0.4,powertoys
Baseline,0.6117274167987322,0.6678200692041523,0.6385442514474772,0.1909965034965035,0.8090034965034965,0.4,powertoys
Baseline,0.617879746835443,0.6756055363321799,0.6454545454545455,0.1875,0.8125,0.4,powertoys
Baseline,0.5748138117806364,0.7344290657439446,0.6448917584504367,0.20432692307692307,0.7956730769230769,0.4,powertoys
Baseline,0.6491405460060667,0.5553633217993079,0.5986013986013986,0.1881555944055944,0.8118444055944056,0.4,powertoys
Baseline,0.612878200155159,0.6833910034602076,0.6462167689161554,0.1890297202797203,0.8109702797202797,0.4,powertoys
Baseline,0.6463654223968566,0.5692041522491349,0.6053357865685373,0.1875,0.8125,0.4,powertoys
Baseline,0.6436018957345971,0.5873702422145328,0.6142017186793307,0.18640734265734266,0.8135926573426573,0.4,powertoys
Baseline,0.6156225831399845,0.6885813148788927,0.6500612494895875,0.18728146853146854,0.8127185314685315,0.4,powertoys
Baseline,0.6429924242424242,0.5873702422145328,0.6139240506329113,0.1866258741258741,0.8133741258741258,0.4,powertoys
H1,0.5961049957662997,0.6342342342342342,0.6145787865560889,0.19296328671328672,0.8070367132867133,0.4,powertoys
H1,0.5849324804548686,0.7414414414414414,0.653953118792213,0.1903409090909091,0.8096590909090909,0.4,powertoys
H1,0.6239151398264223,0.5828828828828829,0.6027014438751748,0.18640734265734266,0.8135926573426573,0.4,powertoys
H1,0.5476878612716763,0.6828828828828829,0.6078588612670409,0.21372377622377622,0.7862762237762237,0.4,powertoys
